S0 I0
0.1000 0.0031,0.0246
0.1250 0.0039,0.0376
0.1500 0.0047,0.0517
0.1750 0.0055,0.0667
0.2000 0.0063,0.0824
0.2250 0.0071,0.0987
0.2500 0.0079,0.1154
